resource_name,project_id,project_number,service,region_or_zone,current_state,estimated_monthly_cost_gross,recommendation,risk_level,reason,evidence_command
BigQuery pmomaxbilling,katalyststreet-public,839982691485,BigQuery,US,ACTIVE - billing export,$0,DO NOT TOUCH,HIGH,Billing export — source of audit truth,bq ls --project_id=katalyststreet-public
Storage bucket 839982691485-us-central1-blueprint-config,katalyststreet-public,839982691485,Cloud Storage,US-CENTRAL1,ACTIVE,$0 (near-zero),REVIEW,LOW,Blueprint config bucket; confirm if needed,gcloud storage buckets list --project=katalyststreet-public
Storage bucket pmomax-public-video-assets,katalyststreet-public,839982691485,Cloud Storage,US-EAST1,ACTIVE,$0 (near-zero),REVIEW,LOW,PMOMax promo video assets; review for stale content,gcloud storage buckets list --project=katalyststreet-public
Storage bucket pmomax-video-assets-bucket,katalyststreet-public,839982691485,Cloud Storage,US-CENTRAL1,ACTIVE,$0 (near-zero),REVIEW,LOW,PMOMax promo video assets (central1 copy); possible duplicate,gcloud storage buckets list --project=katalyststreet-public
Storage bucket pmmaxvideo,katalyststreet-public,839982691485,Cloud Storage,US,ACTIVE,$0 (near-zero),REVIEW,LOW,PMOMax video bucket; may be duplicate of above,gcloud storage buckets list --project=katalyststreet-public
Storage bucket katalyststreet-public_cloudbuild,katalyststreet-public,839982691485,Cloud Storage,US,ACTIVE,$0,DO NOT TOUCH,LOW,Cloud Build artifact bucket; required for CI/CD,gcloud storage buckets list --project=katalyststreet-public
Cloud Run chatagentfn,pid-architect-ehlu1,630092899690,Cloud Run,us-central1,READY (scales to zero),$0,REVIEW — legacy service,MEDIUM,Legacy PID Architect service; confirm if active users before decommission,gcloud run services list --platform=managed --project=pid-architect-ehlu1
Cloud Run extractpid,pid-architect-ehlu1,630092899690,Cloud Run,us-central1,READY (scales to zero),$0,REVIEW — legacy service,MEDIUM,Legacy; confirm usage,gcloud run services list --platform=managed --project=pid-architect-ehlu1
Cloud Run pdfexport,pid-architect-ehlu1,630092899690,Cloud Run,us-central1,READY (scales to zero),$0,REVIEW — legacy service,MEDIUM,Legacy; confirm usage,gcloud run services list --platform=managed --project=pid-architect-ehlu1
Cloud Run pid-agent,pid-architect-ehlu1,630092899690,Cloud Run,us-central1,READY (scales to zero),$0,REVIEW — legacy service,MEDIUM,Legacy PID agent; confirm usage,gcloud run services list --platform=managed --project=pid-architect-ehlu1
Cloud Run pmomax,pid-architect-ehlu1,630092899690,Cloud Run,us-central1,READY (scales to zero),$0,REVIEW — legacy service,MEDIUM,Legacy pmomax service (old version); may be superseded by katalyststreet-public version,gcloud run services list --platform=managed --project=pid-architect-ehlu1
Cloud Run studio,pid-architect-ehlu1,630092899690,Cloud Run,us-central1,READY (maxScale: 1),$0,REVIEW,MEDIUM,Firebase Studio; confirm if needed,gcloud run services list --platform=managed --project=pid-architect-ehlu1
AlloyDB Omni Subscription (null project),UNKNOWN,UNKNOWN,AlloyDB,UNKNOWN,ACTIVE (billing),$21/month gross,HUMAN REVIEW REQUIRED,MEDIUM,Cannot attribute to specific project in billing export (project_id is null); needs Console investigation,bq query billing export null project_id alloydb
Fleet gkehub.googleapis.com (API only),katalyststreet-public,839982691485,GKE Fleet / Hub,global,API ENABLED - no memberships,$0,REVIEW — disable if not needed,LOW,No active fleet memberships found; API enabled but idle,gcloud container fleet memberships list --project=katalyststreet-public
Anthos APIs (anthosconfigmanagement + anthospolicycontroller + krmapihosting),katalyststreet-public,839982691485,Anthos,global,API ENABLED - no workloads detected,$0,REVIEW — disable if not needed,LOW,No active Anthos Config Management workloads found; APIs enabled,gcloud services list --enabled --project=katalyststreet-public
Security Command Center Premium,katalyststreet-public,839982691485,Security Command Center,global,ACTIVE,$12/month gross,DO NOT TOUCH (org-level decision),MEDIUM,Organization-level SCC Premium; costs for AR scanning and GKE pod monitoring; requires org-level decision to change,bq query billing export SELECT sku WHERE service=SCC
